ID	Match	Match Start	Match End	Start	End	Label	Link
1	UOL vs TES _ Worlds Group Stage Day 8 _ Unicorns Of Love vs Top Esports (2020).wav	8.46	43.26	8.46	10.24	0	https://youtu.be/_vmk8_zSYPo
1	UOL vs TES _ Worlds Group Stage Day 8 _ Unicorns Of Love vs Top Esports (2020).wav			10.24	10.27	1	https://youtu.be/_vmk8_zSYPo
1	UOL vs TES _ Worlds Group Stage Day 8 _ Unicorns Of Love vs Top Esports (2020).wav			10.27	15.4	0	https://youtu.be/_vmk8_zSYPo
1	UOL vs TES _ Worlds Group Stage Day 8 _ Unicorns Of Love vs Top Esports (2020).wav			15.4	15.54	1	https://youtu.be/_vmk8_zSYPo
1	UOL vs TES _ Worlds Group Stage Day 8 _ Unicorns Of Love vs Top Esports (2020).wav			15.54	16.2	0	https://youtu.be/_vmk8_zSYPo
1	UOL vs TES _ Worlds Group Stage Day 8 _ Unicorns Of Love vs Top Esports (2020).wav			16.2	16.25	1	https://youtu.be/_vmk8_zSYPo
1	UOL vs TES _ Worlds Group Stage Day 8 _ Unicorns Of Love vs Top Esports (2020).wav			16.25	17.02	0	https://youtu.be/_vmk8_zSYPo
1	UOL vs TES _ Worlds Group Stage Day 8 _ Unicorns Of Love vs Top Esports (2020).wav			17.02	17.07	1	https://youtu.be/_vmk8_zSYPo
1	UOL vs TES _ Worlds Group Stage Day 8 _ Unicorns Of Love vs Top Esports (2020).wav			17.07	19.01	0	https://youtu.be/_vmk8_zSYPo
1	UOL vs TES _ Worlds Group Stage Day 8 _ Unicorns Of Love vs Top Esports (2020).wav			19.01	19.09	1	https://youtu.be/_vmk8_zSYPo
1	UOL vs TES _ Worlds Group Stage Day 8 _ Unicorns Of Love vs Top Esports (2020).wav			19.09	19.16	0	https://youtu.be/_vmk8_zSYPo
1	UOL vs TES _ Worlds Group Stage Day 8 _ Unicorns Of Love vs Top Esports (2020).wav			19.16	19.33	1	https://youtu.be/_vmk8_zSYPo
1	UOL vs TES _ Worlds Group Stage Day 8 _ Unicorns Of Love vs Top Esports (2020).wav			19.33	29.59	0	https://youtu.be/_vmk8_zSYPo
1	UOL vs TES _ Worlds Group Stage Day 8 _ Unicorns Of Love vs Top Esports (2020).wav			29.59	30.13	1	https://youtu.be/_vmk8_zSYPo
